Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
VWF,0.7695383974480149,11.076562075465201,4.544063257598976,5.7296535031360634e-5,0.010084272653892805,1.8075059445630401
TYMP,0.9971384735808037,6.393642288134318,4.542273053456217,5.7609096715268454e-5,0.010084272653892805,1.802542717206883
IRF9,0.7221492728479058,9.402858672658132,4.54133826068067,5.777297424172331e-5,0.010084272653892805,1.7999512425531963
SCARA5,-1.7394723915054775,9.340713040571451,-4.51316528313283,6.293325049380375e-5,0.010650675415751433,1.7219071470925655
NAGK,0.497667496000578,9.489551580373627,4.510514852650109,6.344145464903347e-5,0.010650675415751433,1.7145708675098579
BCMO1,-0.4832155943109848,5.692987002820219,-4.510415580428159,6.346056779558825e-5,0.010650675415751433,1.7142961060642525
QPCT,-1.0469416291626763,9.980640869384644,-4.507552155105284,6.40143173124313e-5,0.010650675415751433,1.7063714577228035
GRAMD3,-0.5466455725694763,8.114499685946733,-4.503085774517388,6.488756769015863e-5,0.010650675415751433,1.6940129588648478
FLJ22536,0.25677273083683017,5.445832368963813,4.4982442233961235,6.584741711295506e-5,0.010650675415751433,1.68061967243709
SMARCD3,0.6595453806363658,5.65679967361837,4.4968420662592585,6.612799865492563e-5,0.010650675415751433,1.6767415009928133
DTX3,0.4839270526948041,5.552184564312269,4.494911736606499,6.651619726343989e-5,0.010650675415751433,1.6714029538834758
RHOC,0.5001675355709597,10.973507467578054,4.492658317713122,6.69722087856889e-5,0.010650675415751433,1.665171565612459
ABHD12B,-0.7375832162110225,8.576758083561417,-4.488471010245589,6.782775551780392e-5,0.010650675415751433,1.6535943933874862
GUCY1A3,0.8179080711809307,7.408034901326994,4.4855490199035035,6.843113625044689e-5,0.010650675415751433,1.6455171518843184
UBASH3B,-0.2937033602418736,5.41322719474055,-4.484391029574156,6.867171588898058e-5,0.010650675415751433,1.642316479389046
SCEL,-1.3793536657703316,8.26962354565099,-4.48173273280395,6.922714623594019e-5,0.010650675415751433,1.6349697377401178
CHST3,0.651699939630963,7.3188597051849005,4.4778548361693336,7.004533880209902e-5,0.010650675415751433,1.6242542922400576
